run_id,classifier,detector,codebook_size,spatial_pyramid,pyramid_levels,dense_sift,dense_step,dense_scales,fold_1_train_acc,fold_1_val_acc,fold_2_train_acc,fold_2_val_acc,fold_3_train_acc,fold_3_val_acc,fold_4_train_acc,fold_4_val_acc,fold_5_train_acc,fold_5_val_acc,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,final_train_acc,test_acc,clf_params
0,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.3062221583560856,0.2823461759631972,0.3057910619341859,0.25876940770557794,0.30396665708536935,0.28620689655172415,0.30094854843345786,0.271264367816092,0.3041103765449842,0.27241379310344827,0.3042077604708166,0.0018576716577496965,0.2742001282280079,0.00959622214726325,0.298229478040929,0.2740909090909091,"{'C': 0.001, 'max_iter': 1000, 'class_weight': 'balanced'}"
1,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.31182641184078175,0.2852213916043703,0.30852133927288405,0.25876940770557794,0.30827824087381434,0.2913793103448276,0.30784708249496984,0.27011494252873564,0.3062661684392067,0.2775862068965517,0.3085478485843314,0.00181766363689025,0.2766142518160127,0.011434281681956666,0.30616233616923433,0.27090909090909093,"{'C': 0.005, 'max_iter': 1000, 'class_weight': 'balanced'}"
2,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.3182928581692772,0.2852213916043703,0.3236097140393735,0.2656699252443933,0.320494394941075,0.29540229885057473,0.32696177062374243,0.2867816091954023,0.323081345214142,0.2850574712643678,0.322488016597522,0.0029393400835088005,0.2836265392318217,0.009753502832718534,0.3253621522189009,0.2831818181818182,"{'C': 0.01, 'max_iter': 1000, 'class_weight': 'balanced'}"
3,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.38425061071993105,0.32202415181138583,0.3892800689754275,0.2961472110408281,0.37970681230238573,0.31896551724137934,0.38028169014084506,0.3195402298850575,0.3822937625754527,0.31839080459770114,0.3831625889428084,0.003452656446542103,0.3150135829152704,0.009514221018571831,0.3860657622441941,0.3131818181818182,"{'C': 0.05, 'max_iter': 1000, 'class_weight': 'balanced'}"
4,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.43296450639459694,0.339850488786659,0.4323897111653973,0.31972397929844737,0.42785283127335444,0.33045977011494254,0.4386317907444668,0.3350574712643678,0.4291463064098879,0.3511494252873563,0.43219702919754066,0.0037472995312930464,0.3352482269503546,0.010373012043921074,0.4295240285123017,0.32636363636363636,"{'C': 0.1, 'max_iter': 1000, 'class_weight': 'balanced'}"
5,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.5740767351630981,0.35135135135135137,0.5759448196579968,0.3312248418631397,0.5839321644150618,0.3408045977011494,0.582926128197758,0.3545977011494253,0.5755964357574016,0.3568965517241379,0.5784952566382634,0.004089591966597104,0.3469750087578407,0.009610791418442627,0.5661071510692113,0.3477272727272727,"{'C': 0.5, 'max_iter': 1000, 'class_weight': 'balanced'}"
6,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.6598649231211381,0.3237492811960897,0.6680557551372324,0.33870040253018974,0.6621155504455303,0.3350574712643678,0.6624029893647599,0.3293103448275862,0.6562230526013222,0.3488505747126437,0.6617324541339966,0.0038580226331464537,0.3351336149061754,0.0085369348899012,0.6301448608875604,0.34045454545454545,"{'C': 1.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
7,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.8403506250898117,0.2903967797584819,0.8506969392154045,0.30477285796434733,0.8466513365909745,0.3137931034482759,0.856424259844783,0.3114942528735632,0.8470824949698189,0.2925287356321839,0.8482411311421585,0.005274932396027192,0.30259714593537046,0.009586068226514302,0.7906415267877673,0.3109090909090909,"{'C': 5.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
8,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.9211093547923552,0.2714203565267395,0.9182353786463572,0.29269695227142034,0.9136246047714861,0.27298850574712646,0.9241161253233687,0.2793103448275862,0.9139120436907158,0.28735632183908044,0.9181995014448567,0.004069077177023685,0.28075449624239057,0.008194250461477577,0.8539894228558289,0.2772727272727273,"{'C': 10.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
9,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.9965512286248024,0.2610695802185164,0.9982756143124012,0.24439332949971249,0.997413049726933,0.2591954022988506,0.9979879275653923,0.2718390804597701,0.9979879275653923,0.2672413793103448,0.9976431495589843,0.0006136762454152565,0.26074775435743885,0.009329150668339937,0.9712577604046907,0.265,"{'C': 50.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
10,LogisticRegression,SIFT,1000,square,2,False,8,[16],0.9998563011927001,0.24611845888441633,0.9994252047708004,0.25876940770557794,0.9997125610807703,0.2517241379310345,0.9998562805403852,0.25114942528735634,1.0,0.2660919540229885,0.9997700695169313,0.00019492315556067554,0.2547706767662747,0.006948624371365479,0.9958611174982754,0.24,"{'C': 100.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
11,LogisticRegression,SIFT,1000,square,2,False,8,[16],1.0,0.24554341575618172,1.0,0.24726854514088556,1.0,0.25,1.0,0.24885057471264369,1.0,0.2614942528735632,1.0,0.0,0.25063135769665484,0.005635032452020715,1.0,0.23227272727272727,"{'C': 500.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
12,LogisticRegression,SIFT,1000,square,2,False,8,[16],1.0,0.23921794134560093,1.0,0.2581943645773433,1.0,0.2614942528735632,1.0,0.2603448275862069,1.0,0.271264367816092,1.0,0.0,0.25810315083976126,0.010453724480026379,1.0,0.24772727272727274,"{'C': 1000.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
13,LogisticRegression,SIFT,1000,square,2,False,8,[16],1.0,0.2564692351926394,1.0,0.26049453709028175,1.0,0.2557471264367816,1.0,0.24482758620689654,1.0,0.2637931034482759,1.0,0.0,0.25626631767497504,0.006413823448782199,1.0,0.23954545454545453,"{'C': 5000.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
14,LogisticRegression,SIFT,1000,square,2,False,8,[16],1.0,0.24784358826912017,1.0,0.2386428982173663,1.0,0.2471264367816092,1.0,0.2660919540229885,1.0,0.22816091954022988,1.0,0.0,0.2455731593662628,0.012488419176565322,1.0,0.24863636363636363,"{'C': 10000.0, 'max_iter': 1000, 'class_weight': 'balanced'}"
