run_id,classifier,detector,codebook_size,spatial_pyramid,pyramid_levels,dense_sift,dense_step,dense_scales,pca_dim,fold_1_train_acc,fold_1_val_acc,fold_2_train_acc,fold_2_val_acc,fold_3_train_acc,fold_3_val_acc,fold_4_train_acc,fold_4_val_acc,fold_5_train_acc,fold_5_val_acc,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,final_train_acc,test_acc,pca_explained_variance,clf_params
0,SVM,SIFT,1000,square,2,False,8,[16],None,0.9077453657134645,0.359401955146636,0.9040091967236672,0.34847613571017827,0.9019833285426847,0.3649425287356322,0.9077321069272779,0.3528735632183908,0.9024144869215291,0.35517241379310344,0.9047768969657246,0.0025107545493715136,0.35617331932078816,0.00562956411817891,0.8892848930788687,0.35863636363636364,N/A,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
0,SVM,SIFT,1000,square,2,False,8,[16],None,0.9096134502083633,0.3634272570442783,0.9047276907601667,0.33812535940195515,0.9045702788157517,0.3586206896551724,0.9039954009772924,0.35977011494252875,0.9027019258407588,0.36551724137931035,0.9051217493204666,0.00235622515884897,0.357092132484649,0.009801661301142685,0.893308806622212,0.36954545454545457,N/A,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
1,SVM,SIFT,1000,square,2,False,8,[16],1500,0.9238396321310534,0.35767682576193216,0.9209656559850553,0.3599769982748706,0.920523138832998,0.35574712643678164,0.9189422247772349,0.3689655172413793,0.9200919804541535,0.35344827586206895,0.920872526436099,0.0016290965311647396,0.35916294871540655,0.005353259109819423,0.9071050816279604,0.36363636363636365,0.9570577964551104,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
2,SVM,SIFT,1000,square,2,False,8,[16],1000,0.9090386549791637,0.3588269120184014,0.898692340853571,0.3450258769407706,0.9093130209830411,0.36954022988505747,0.9073009485484335,0.3545977011494253,0.9075883874676631,0.3660919540229885,0.9063866705663746,0.003926303237281948,0.35881653480332865,0.008670758564228687,0.895723154748218,0.36363636363636365,0.8603208011184267,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
3,SVM,SIFT,1000,square,2,False,8,[16],750,0.8863342434257796,0.3697527314548591,0.887196436269579,0.34732604945370904,0.8814314458177637,0.3350574712643678,0.8953722334004024,0.3563218390804598,0.8827249209542972,0.3603448275862069,0.8866118559735645,0.004880736189063237,0.35376058376792047,0.011805682803098029,0.8744538974476891,0.3640909090909091,0.7852746079493966,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
4,SVM,SIFT,1000,square,2,False,8,[16],500,0.8639172294869952,0.3737780333525014,0.8593188676533985,0.35135135135135137,0.8601609657947686,0.35977011494252875,0.8640413912043691,0.37298850574712644,0.8603046852543834,0.364367816091954,0.8615486278787831,0.002013403712658168,0.3644511642970924,0.008407151177512876,0.8441020924350425,0.36954545454545457,0.6780635623926055,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
5,SVM,SIFT,1000,square,2,False,8,[16],300,0.8298606121569191,0.36112708453133985,0.8110360684006322,0.3720529039677976,0.8154642138545559,0.3568965517241379,0.8190572003449267,0.35747126436781607,0.819632078183386,0.3764367816091954,0.819010034588084,0.006233477004903817,0.3647969172400573,0.007971002738987753,0.8054725224189468,0.37136363636363634,0.5613575938999513,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
6,SVM,SIFT,1000,square,2,False,8,[16],200,0.7792786319873545,0.3697527314548591,0.7817215117114528,0.36400230017251295,0.773498131647025,0.3689655172413793,0.771773498131647,0.3718390804597701,0.7762288013797068,0.3741379310344828,0.7765001149714372,0.0036444358251911183,0.36973951207260086,0.003384349861169149,0.7644286042768452,0.3704545454545455,0.48579638787882706,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
7,SVM,SIFT,1000,square,2,False,8,[16],100,0.7141830722805,0.3542265669925244,0.7074292283374048,0.35480161012075906,0.7070997413049727,0.3471264367816092,0.6989077321069272,0.3683908045977011,0.7046565104915206,0.36724137931034484,0.7064552569042651,0.004925113810020881,0.35835735956058773,0.00819068072889473,0.6882041848700851,0.3577272727272727,0.3797507485476418,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
8,SVM,SIFT,1000,square,2,False,8,[16],50,0.6191981606552666,0.35480161012075906,0.6217847391866648,0.3450258769407706,0.6237424547283702,0.3545977011494253,0.6240298936475999,0.367816091954023,0.6198620293187698,0.3568965517241379,0.6217234555073343,0.0019617233232095306,0.35582756637782315,0.007267862472251348,0.6141641756725684,0.3690909090909091,0.29223287836924466,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
9,SVM,SIFT,1000,square,2,False,8,[16],25,0.5326914786607271,0.3392754456584244,0.5280931168271303,0.3283496262219667,0.5238574302960621,0.3333333333333333,0.5196895659672319,0.3563218390804598,0.5229951135383731,0.3488505747126437,0.5254653410579049,0.004498205176791946,0.3412261638013656,0.010177606280259058,0.5128765233386986,0.34136363636363637,0.2290254090441622,"{'kernel': 'rbf', 'C': 1.0, 'class_weight': 'balanced', 'gamma': 'scale'}"
