run_id,classifier,detector,codebook_size,spatial_pyramid,pyramid_levels,dense_sift,dense_step,dense_scales,fold_1_train_acc,fold_1_val_acc,fold_2_train_acc,fold_2_val_acc,fold_3_train_acc,fold_3_val_acc,fold_4_train_acc,fold_4_val_acc,fold_5_train_acc,fold_5_val_acc,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,final_train_acc,test_acc,clf_params
0,LogisticRegression,SIFT,8,None,1,False,8,[16],0.2179910906739474,0.19206440483036227,0.22373904296594338,0.2098907418056354,0.20422535211267606,0.20229885057471264,0.22951997700488647,0.2293103448275862,0.2043690715722909,0.20919540229885059,0.21596890686594886,0.01020355821622325,0.20855194886742945,0.012198833946907031,0.21660151759025062,0.20272727272727273,{}
1,LogisticRegression,SIFT,16,None,1,False,8,[16],0.251472912774824,0.2484186313973548,0.2655553958902141,0.24324324324324326,0.2467663121586663,0.2413793103448276,0.25553319919517103,0.24022988505747125,0.2486346651336591,0.2540229885057471,0.2535924970305069,0.00667153368362031,0.2454588117097288,0.005118562410039017,0.26350885260979534,0.2727272727272727,{}
2,LogisticRegression,SIFT,24,None,1,False,8,[16],0.28078746946400346,0.25589419206440484,0.2850984336830004,0.27084531339850487,0.28542684679505603,0.27586206896551724,0.27910319057200345,0.27413793103448275,0.2798217878700776,0.2689655172413793,0.2820475456768282,0.002680992746488021,0.26914100454085776,0.007050609713265316,0.2862727063692803,0.27545454545454545,{}
3,LogisticRegression,SIFT,32,None,1,False,8,[16],0.2950136513866935,0.26336975273145485,0.2838051444173013,0.2535940195514664,0.302529462489221,0.2689655172413793,0.2904570278815752,0.27816091954022987,0.2891635527450417,0.2695402298850575,0.2921937677839665,0.00628244855500784,0.2667260877899176,0.008092045704290942,0.2840882961600368,0.2722727272727273,{}
4,LogisticRegression,SIFT,48,None,1,False,8,[16],0.31211380945538153,0.2995974698102358,0.31340709872108063,0.2685451408855664,0.32250646737568267,0.29540229885057473,0.31158378844495543,0.29310344827586204,0.30655360735843634,0.27241379310344827,0.3132329542711073,0.005188723924255514,0.28581243018513747,0.012750173321857527,0.313290411588871,0.28,{}
5,LogisticRegression,SIFT,64,None,1,False,8,[16],0.3188676533984768,0.2949971247843588,0.3218853283517747,0.29844738355376654,0.32322506467375683,0.29195402298850576,0.3212129922391492,0.2959770114942529,0.32250646737568267,0.2959770114942529,0.32153950120776803,0.0014927238863167238,0.29547051086302734,0.002095931208168202,0.31880892159117036,0.29454545454545455,{}
6,LogisticRegression,SIFT,96,None,1,False,8,[16],0.35263687311395314,0.31512363427257045,0.3461704267854577,0.2961472110408281,0.34636389767174475,0.29770114942528736,0.35110663983903423,0.3114942528735632,0.34262719172175915,0.31091954022988505,0.34778100582638977,0.003627760987017376,0.3062771575684268,0.0077870878073698895,0.3483559438951483,0.30954545454545457,{}
7,LogisticRegression,SIFT,128,None,1,False,8,[16],0.3608277051300474,0.31167337550316276,0.3655697657709441,0.30304772857964346,0.36361023282552457,0.31494252873563217,0.35800517390054615,0.3040229885057471,0.36361023282552457,0.31724137931034485,0.36232462209051736,0.002635713963347813,0.31018560012690605,0.005719315648967544,0.3631869395263279,0.3145454545454546,{}
8,LogisticRegression,SIFT,192,None,1,False,8,[16],0.38209512861043254,0.3358251868890167,0.3848254059491306,0.31857389304197814,0.3858867490658235,0.30689655172413793,0.37798217878700774,0.31551724137931036,0.3817188847369934,0.32873563218390806,0.38250166942987757,0.002759070080185814,0.32110970104367026,0.010143173963986816,0.38296160036790067,0.3140909090909091,{}
9,LogisticRegression,SIFT,256,None,1,False,8,[16],0.40307515447621783,0.3358251868890167,0.40364994970541745,0.32547441058079357,0.3979591836734694,0.3264367816091954,0.3935038804254096,0.32068965517241377,0.4019833285426847,0.332183908045977,0.4000342993646398,0.003822850208596828,0.32812198845947926,0.00530900415546971,0.39250402391354333,0.32272727272727275,{}
10,LogisticRegression,SIFT,384,None,1,False,8,[16],0.42462997557120274,0.32777458309373203,0.42707285529530103,0.32892466935020126,0.4346076458752515,0.3201149425287356,0.4292900258695027,0.32701149425287357,0.4264156366772061,0.335632183908046,0.42840322785769286,0.003442064971012984,0.3278915746267177,0.004944664842523838,0.41883191538284664,0.33954545454545454,{}
11,LogisticRegression,SIFT,512,None,1,False,8,[16],0.4467595918953873,0.3364002300172513,0.4464721942807875,0.3358251868890167,0.4528600172463352,0.31494252873563217,0.44653636102328254,0.3310344827586207,0.45228513940787585,0.3235632183908046,0.44898266077073357,0.00293833687870283,0.3283531293582651,0.008130984995094716,0.4392963899747068,0.32727272727272727,{}
12,LogisticRegression,SIFT,768,None,1,False,8,[16],0.48139100445466304,0.3438757906843013,0.4812473056473631,0.31684876365727427,0.48347226214429434,0.32126436781609197,0.479448117275079,0.3310344827586207,0.4887898821500431,0.3339080459770115,0.4828697143342885,0.003222966649568165,0.32938629017866,0.009552629306338394,0.46516440561048517,0.3336363636363636,{}
13,LogisticRegression,SIFT,1024,None,1,False,8,[16],0.49532978876275324,0.33870040253018974,0.4915936197729559,0.3341000575043128,0.49626329405001435,0.32701149425287357,0.5002874389192297,0.32988505747126434,0.4961195745903995,0.3310344827586207,0.49591874321907053,0.002767602240610068,0.3321462989034522,0.003987204879978101,0.4916072660381697,0.3340909090909091,{}
